galaxies
mod0,vgsr
33.49,4522
24.94,-54
30.80,1204
35.03,7428
31.34,1024
32.23,2470
29.70,744
36.19,11673
31.60,1477
34.22,5386
34.32,4441
27.53,214
31.57,1503
33.55,4728
29.32,574
34.45,4948
32.17,1428
31.56,1815
33.84,1972
29.11,490
26.62,98
28.45,395
26.44,29
31.34,1293
33.50,3789
24.50,-147
33.74,5336
30.68,1354
31.31,978
34.29,5318
26.45,69
32.29,1812
33.40,5372
32.23,2263
29.17,374
36.05,13297
31.25,1566
33.73,4480
32.60,2508
33.08,2472
32.54,2934
24.25,-4
31.62,1577
31.25,1539
32.24,1718
24.33,-171
29.93,1560
24.11,-17
34.94,6136
24.52,-62
32.15,1587
31.38,1680
31.44,1598
30.30,1555
33.80,4687
32.06,1585
32.13,1582
29.27,416
24.50,-22
24.27,-112
34.60,6694
28.46,374
24.18,NA
24.32,-204
32.93,2785
36.12,11317
33.96,5406
27.85,173
27.84,244
31.29,1396
34.44,5092
34.25,5241
27.62,248
34.30,5294
27.62,308
34.46,4758
27.79,245
33.20,5127
31.43,1787
32.59,792
32.88,5085
32.34,820
32.41,1478
34.48,5014
18.97,21
31.59,1608
33.67,4663
33.09,4950
34.70,6946
34.29,6222
34.55,4654
34.36,4790
26.53,122
32.18,1810
33.69,5622
33.47,5800
34.77,6824
35.37,3746
34.10,4813
33.94,4880
36.59,11769
32.22,2017
32.83,2934
33.11,1968
31.30,1701
19.63,76
32.83,2893
34.56,4989
34.46,4931
32.34,2794
34.66,5574
34.80,5729
32.15,2309
34.34,5653
32.42,2179
34.14,5439
24.42,-152
24.39,-153
30.30,1148
32.56,2473
33.20,6010
34.98,6401
33.70,5225
28.41,273
31.61,1369
34.33,5375
31.94,2054
33.60,4787
27.37,105
32.43,1927
33.76,5592
34.59,5725
34.46,5009
34.70,4893
32.39,1988
33.46,4982
34.13,4358
34.12,5109
24.02,-43
34.53,5512
33.99,5720
33.44,2448
32.20,2445
34.82,6024
32.45,2333
32.89,2346
32.83,2626
33.28,2594
34.62,5235
34.75,5639
34.09,5591
34.38,4250
33.63,6151
34.84,5010
32.09,2568
32.72,2487
32.70,2524
33.05,2820
32.95,2817
32.56,2510
32.70,2459
34.32,4906
33.77,4799
32.01,2042
33.29,2001
33.92,5335
31.68,1584
32.99,2696
33.85,4179
34.04,5340
34.27,2807
34.34,5210
34.32,5948
31.75,2963
31.23,1614
33.23,2910
31.50,1885
34.21,4582
34.04,4491
29.39,791
31.67,1936
32.74,2861
31.96,1772
24.71,-48
32.11,1446
32.22,1900
30.03,756
33.20,3234
34.28,5582
36.18,11258
34.40,5070
32.35,1883
29.34,834
29.78,727
33.79,5643
32.48,2156
31.45,1534
32.02,2257
33.26,3074
32.76,2894
30.69,899
29.48,882
28.30,309
34.87,5792
31.86,1863
33.75,4638
34.62,4799
34.21,5261
31.12,1568
33.24,1761
31.99,2851
32.16,1446
32.46,2916
32.84,2769
33.88,4283
35.75,11496
31.52,1862
23.20,-142
31.46,3038
34.55,4841
33.23,2155
33.78,5448
32.79,1665
33.46,4974
34.16,5040
32.76,6242
32.19,1717
34.40,5247
33.74,5737
33.36,3111
34.34,5338
31.49,1634
35.40,5605
32.34,1859
34.16,4779
34.17,5600
31.86,2532
33.52,4538
31.44,1408
34.32,5288
33.44,4274
33.94,5315
32.40,2524
34.50,5869
33.77,5896
31.66,2180
34.72,5348
36.10,9163
34.58,4542
33.89,4542
33.74,5308
31.84,1818
34.05,4500
34.72,3447
33.83,4377
31.51,1935
34.41,4717
32.85,3280
31.42,2011
36.31,13416
33.74,4669
34.79,6298
33.13,2438
28.17,158
29.92,698
34.19,5389
30.72,1579
35.94,15864
30.85,1605
33.28,3445
31.59,1885
32.45,3101
32.27,3096
34.71,6174
36.01,11127
34.44,5042
31.55,1575
31.88,1556
32.36,2301
32.74,2295
33.10,4073
29.97,660
32.18,1562
32.06,1614
31.26,1466
31.28,4791
31.74,1400
26.63,157
33.87,5330
34.71,5896
31.07,1582
34.34,5664
32.59,2097
31.22,1458
29.82,665
31.35,2082
32.98,4247
32.81,5096
31.71,1615
31.96,1113
32.53,2002
34.17,4883
34.45,5746
30.20,732
33.94,5903
35.52,8143
31.73,1044
30.07,711
29.59,1887
34.07,5208
33.66,4374
30.83,1614
33.99,4959
33.97,4758
32.46,3873
30.94,1492
35.98,4628
30.82,793
27.69,221
33.30,4211
28.53,369
33.26,3580
30.20,746
31.17,1249
20.86,-56
28.12,1356
29.90,761
33.49,5287
31.65,1286
31.22,1469
31.43,1005
27.70,173
33.91,4661
30.02,1149
32.47,1632
33.76,5600
30.13,629
27.77,1220
32.65,1376
33.98,4230
34.78,6826
30.95,1407
30.84,1188
32.24,2887
31.63,1305
36.23,10380
30.74,1512
34.61,5451
32.89,3687
35.19,7623
34.42,6465
33.11,2282
32.11,2003
31.29,1472
35.67,9884
33.27,3646
31.20,1336
35.07,7715
34.43,4983
34.88,7790
28.83,434
32.42,1773
31.22,1532
28.90,498
32.57,2510
31.93,2360
35.05,6718
33.06,3897
32.81,2706
35.02,7644
33.97,2855
34.41,8420
32.89,2228
35.52,8928
32.80,2592
32.90,2010
31.88,2647
31.71,1485
31.39,1320
31.26,1717
